issuer,contract,function,span,self_ms,calls,txs
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-core-v-1-2,swap-x-for-y,walk_backptr,1292.727,79324,94
SPGDS0Y17973EN5TCHNHGJJ9B31XWQ5YX8A36C9B,bradley-coin-v2,mint,walk_backptr,1247.452,46210,228
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,wrapper-velar-path-v-1-2,swap-univ2v2,walk_backptr,1188.327,48784,40
SPGDS0Y17973EN5TCHNHGJJ9B31XWQ5YX8A36C9B,hermes-token,mint,walk_backptr,1182.464,49286,244
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-1,swap-simple-multi,put,1176.018,3223,287
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,borrow,walk_backptr,1133.204,45630,15
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,rankforge,post-tally,walk_backptr,1131.256,71882,549
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,quickpulse,dispatch-relay,put,1117.621,3564,324
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,quickpulse,dispatch-relay,walk_backptr,1108.971,106542,324
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-transfer,withdraw-deposit-all,walk_backptr,1105.854,83440,3
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,pulsewatch,emit-signal,walk_backptr,1103.466,76888,551
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-1,withdraw-relative-liquidity-same-multi,walk_backptr,1094.544,153370,32
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-1,add-relative-liquidity-same-multi,walk_backptr,1087.939,107392,58
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-swap-helper-v-1-3,swap-helper-b,walk_backptr,1025.57,39684,16
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,supply-collateral-add,walk_backptr,988.123,36452,22
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,collateral-remove-redeem,walk_backptr,910.952,42562,21
