issuer,contract,function,call_count,sum_runtime,pct_run_runtime,sum_read_count,pct_run_read_count,sum_read_length,pct_run_read_length,sum_write_count,pct_run_write_count,sum_write_length,pct_run_write_length,max_block_runtime,max_block_read_count,max_block_read_length,max_block_write_count,max_block_write_length,max_axis_share_pct
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,765,33892978007,31.14,1916143,31.93,9410265838,36.62,468423,42.71,162349832,53.71,269158631,14625,73105643,3550,2484450,53.71
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,592,32495501236,29.86,2141078,35.68,9743057955,37.92,498368,45.44,133274134,44.09,137452274,9055,41770732,2101,2778244,45.44
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,158,11730100776,10.78,614578,10.24,4295515874,16.72,11357,1.04,290402,0.1,184597036,14152,75499647,1852,47338,16.72
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v2_1_0,capture-snapshot-balances-optimizer,59,5961391278,5.48,299231,4.99,509875638,1.98,6003,0.55,642741,0.21,176710422,5612,11328836,129,14126,5.48
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,85,1862670308,1.71,95126,1.59,525645924,2.05,11143,1.02,283100,0.09,183647296,14156,75499647,1856,47618,2.05
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,buy-option,1898,300123148,0.28,102492,1.71,158202096,0.62,18980,1.73,1125514,0.37,3162520,1080,1667040,200,11860,1.73
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,borrow,15,1646343519,1.51,4879,0.08,9184474,0.04,401,0.04,24451,0.01,110741358,368,651310,32,1855,1.51
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N,borrow-helper-v2-1-7,withdraw,15,1371468133,1.26,9607,0.16,51384688,0.2,215,0.02,46241,0.02,115897207,948,4287121,21,4701,1.26
SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2,blocksurvey-proof-of-submission,proof-of-submission,2373,113481234,0.1,35595,0.59,17547900,0.07,11865,1.08,711900,0.24,1291491,405,199665,135,8100,1.08
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,collateral-remove-redeem,21,991299687,0.91,5131,0.09,8349781,0.03,417,0.04,18223,0.01,105652067,487,741343,35,2077,0.91
