marf_key,c,txs,records
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zststxbtc-v2-token,180,5,10
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zststx-token,180,5,10
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0,180,5,10
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-token,180,5,10
clarity-contract::SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-vaults-data-v1-1,180,5,10
clarity-contract::SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.curve-pool-v1_0_0_ststx-0001,180,5,10
clarity-contract::SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.curve-farming-core-v1_1_1_ststx-0001,180,5,10
clarity-contract::SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-core,180,5,10
clarity-contract::SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.farming-ststx-aeusdc-core,180,5,10
clarity-contract::SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3,180,5,10
clarity-contract::SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.liquid-stacking-v3,180,5,10
clarity-contract::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-1-data,180,5,10
clarity-contract::SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-staking-stx-ststx-v-1-4,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::6864912,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::6220948,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::6162091,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::344516,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::344512,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::343279,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::258714,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::243161,180,5,10
__MARF_BLOCK_HEIGHT_TO_HASH::2237204,180,5,10
