row_id,baseline_samples,candidate_samples,baseline_avg_duration_us,candidate_avg_duration_us,avg_delta_us,avg_duration_improvement_pct,baseline_min_duration_us,candidate_min_duration_us,baseline_max_duration_us,candidate_max_duration_us,baseline_total_duration_us,candidate_total_duration_us,total_delta_us,total_duration_improvement_pct,clarity_runtime_delta,clarity_read_count_delta,clarity_read_length_delta,clarity_write_count_delta,clarity_write_length_delta
ALL_TARGET_TXS,100,100,1263375.9,919480.78,-343895.12,27.22,1052333,813469,1792863,1493819,126337590,91948078,-34389512,27.22,0,0,0,0,0
695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,20,20,1318026.0,947097.25,-370928.75,28.143,1075287,828793,1729323,1493819,26360520,18941945,-7418575,28.143,0,0,0,0,0
7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,20,20,1248118.1,944904.45,-303213.65,24.294,1094502,847697,1704523,1402423,24962362,18898089,-6064273,24.294,0,0,0,0,0
9728154c1239b04662827d03388ded4608eb53f42f24f36c7a0c9f05d5478a23,20,20,1218862.25,845957.3,-372904.95,30.595,1071404,814693,1639329,1264345,24377245,16919146,-7458099,30.595,0,0,0,0,0
ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,20,20,1252449.1,941508.2,-310940.9,24.827,1087331,826628,1792610,1370480,25048982,18830164,-6218818,24.827,0,0,0,0,0
bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,20,20,1279424.05,917936.7,-361487.35,28.254,1052333,813469,1792863,1401804,25588481,18358734,-7229747,28.254,0,0,0,0,0
