context,name,baseline_self_wall_us,candidate_self_wall_us,self_wall_delta_us,self_wall_improvement_pct,baseline_total_wall_us,candidate_total_wall_us,total_wall_delta_us,total_wall_improvement_pct,baseline_calls,candidate_calls,call_delta
blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,38138343,23954145,-14184198,37.191,38147067,23967330,-14179737,37.171,2462421,1687581,-774840
blockstack_lib::chainstate::stacks::index::marf::MARF,walk_backptr,595964,385115,-210849,35.379,38743031,24352445,-14390586,37.144,2462421,1687581,-774840
