stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_hash,height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
17686,74a98eeda29cc840fc888fcc3f7657fcef48048d649640297025b49195f600d6,21709,eb0081263a8ef2f1a3833ac4f5d261054163937f244d70b15ec62541f16097dc,7312658,2243.021,129783789,7583,34609013,1614,2778244
44299,9263904171da1a1a3d3b7e538b12b7c8984d0aa221a6588567f933ffa6a995e7,9074,124d03009e7e0fd139a757e7c718abd23992eb222d728f4ce276681bf6c1a711,7300023,2016.34,102546224,6904,31070993,1650,240075
18694,9f0416becf87bb90dcb0bcb2c6e9641efc97342c159b0d6d6937fe1e93f9f610,21093,d5bf3b0ad7b84f05c5b5b8851546d5537ab2384e1c974afcb980b3a80c336822,7312042,2005.66,103066058,6653,31138035,1399,315346
18296,37ad67a35e440ee7bb3f35620c3ccb26937103eb446b6a15f9b7814fedef9637,21338,f4bb1ef797427462485f6f7f63f32cbb560cc66075e51c4321e272399235b8e9,7312287,1991.634,107284679,6904,31980998,1650,1005075
38624,408f81be04c3bbf1cf0593233fa75334536c68251e851153322db976d3085898,11592,fdf9ddcddd2ca9f733c1248d20a41b059c5883ea53a5f6b2bfc4ff79df34de07,7302541,1937.085,102546224,6904,31070993,1650,240075
