stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
15764,850a9f5a8d9fa11b273fd277329b1da0c0f2d4bf510f9a937edb0909f8e92f74,22946,7313895,1710.582,101765782,6615,31863927,1361,82722
15484,bbbd26aa8bff64814d7c033a11c5f7a3643b30f0b5cdf6b628fda216efb70794,23095,7314044,1709.85,102546224,6904,31070993,1650,240075
33329,62c466245baf5218cc1236ed87a727c100bdd5c0fa59ad5e2ad9ba11e73ad795,14114,7305063,1703.799,102221279,6904,30739148,1650,240075
18937,9e61fbb3bdb8827fd5f913e740b1c5269f063d185bd489184b76425ae9151879,20970,7311919,1700.47,102787834,6633,31464095,1379,264905
35830,0c5064d4a53f4d2cfc6b1284cb84dc1d29f876eeeeab65d7ded7915433ae2ac5,12821,7303770,1700.133,102546224,6904,31070993,1650,240075
33794,256961824453ed28631b1cde938c51d666ef50832645318020a0f5fded31ac4a,13860,7304809,1699.772,102546224,6904,31070993,1650,240075
19088,eef5e668e5af007db0454d20d6b96db52def4318c016b7a5c3106290873c421d,20889,7311838,1699.195,101679715,6525,30634505,1376,379946
39394,74a152c3cf2f3632d83a675c81907f7988cfc461297c895f592765171b7c9d6f,11267,7302216,1698.721,102546224,6904,31070993,1650,240075
19462,f3fd650283a47cd6195cbce32f7fe77eb0c405299bd35acab661ce574f202dad,20652,7311601,1697.938,103066058,6653,31138035,1399,315346
39308,7cc4c3ff45569556c727d61a00986f1b2ee4b405d578651f25555be1c3ed8634,11328,7302277,1697.375,102546224,6904,31070993,1650,240075
41424,36cccdde8d343840b34a6d2bb94d9516ab2f2766fbece3ef1edfbb5cb0a5e521,10441,7301390,1696.113,107715347,6823,31275638,1569,882675
37532,9cd70c823fc666ad4452d52496601ac9cd8497ee996c7363a03f27f1ea7211f8,12120,7303069,1695.7,102546224,6904,31070993,1650,240075
15249,87f8271d4d040ab0d6b8fe40531f2e803d80092a9b732b6d78debe35ab5a56a2,23247,7314196,1695.478,102694679,6904,31215998,1650,240075
38804,406518ef1e0df0d200a9480d510134731bc29b7bca03d433a563fdb8705e9bab,11515,7302464,1694.894,106910123,6856,31295918,1602,859725
25566,97789870b276bc54026eacb4cdb6e77c49293db26bd4c2d90250bcf227fe42f5,17490,7308439,1694.817,103107987,6452,29978009,1408,723496
34969,d5c21f7e89bf7f4b0372ccd2bf9735b34eb4995e84b184028a5094b35887ea7e,13301,7304250,1694.242,102221279,6904,30739148,1650,240075
38729,816db008b36a86789dc142c6e104db09b22958afc7fc1eb289238da888f0497b,11559,7302508,1693.778,108018767,6808,31255988,1554,882675
39096,e808accc6b1bf3b37e352b7eb8c624338c4070ef862567acf9674b304db6a2ae,11404,7302353,1691.411,102221279,6904,30739148,1650,240075
19164,a1ce738ad2ede1c9281e404369dbce30c272ebc57b5f29ef4abba51c26f1d52e,20832,7311781,1690.454,102318712,6631,31345197,1377,225288
33245,bb40db4d717615a270f686cf44936cfa1d1e48fc222aac1edca9cf37947481e9,14159,7305108,1686.545,102221279,6904,30739148,1650,240075
41392,8bcd7bcfa3affeaacd273addc30c00fc8a6359aa1863f920b31fa6db49bf4c60,10451,7301400,1686.06,102546224,6904,31070993,1650,240075
42768,2ef807c5e91ea100e4b31db598950f7b91b8a6c323325267a74dcd4c35d76d1c,9793,7300742,1685.579,102546224,6904,31070993,1650,240075
